99201-20180524131340_v66.89,825-20180524131340_v66.89
00761-20180605110613_v67.1,309-20180605110613_v67.1
08153-20180605110613_v67.1,491-20180605110613_v67.1
25503-20180524131340_v66.89,1073-20180524131340_v66.89
42051-20180524131340_v66.89,1101-20180524131340_v66.89
00660-20180605110613_v67.1,454-20180605110613_v67.1
90503-20180605110613_v67.1,587-20180605110613_v67.1
35203-20180524131340_v66.89,845-20180524131340_v66.89
05156-20180524131340_v66.89,95-20180524131340_v66.89
96601-20180524131340_v66.89,172-20180524131340_v66.89
97304-20180605110613_v67.1,194-20180605110613_v67.1
03351-20180524131340_v66.89,613-20180524131340_v66.89
04954-20180605110613_v67.1,173-20180605110613_v67.1
02751-20180524131340_v66.89,241-20180524131340_v66.89
65502-20180524131340_v66.89,21-20180524131340_v66.89
12012-20180605110613_v67.1,810-20180605110613_v67.1
80205-20180605110613_v67.1,222-20180605110613_v67.1
00857-20180524131340_v66.89,462-20180524131340_v66.89
17208-20180605110613_v67.1,744-20180605110613_v67.1
00362-20180605110613_v67.1,160-20180605110613_v67.1
10501-20180605110613_v67.1,1026-20180605110613_v67.1
02257-20180605110613_v67.1,843-20180605110613_v67.1
05453-20180605110613_v67.1,268-20180605110613_v67.1
90202-20180524131340_v66.89,1072-20180524131340_v66.89
06253-20180524131340_v66.89,217-20180524131340_v66.89
02856-20180524131340_v66.89,609-20180524131340_v66.89
43151-20180605110613_v67.1,896-20180605110613_v67.1
11202-20180605110613_v67.1,789-20180605110613_v67.1
01053-20180524131340_v66.89,585-20180524131340_v66.89
12503-20180605110613_v67.1,799-20180605110613_v67.1
98802-20180524131340_v66.89,821-20180524131340_v66.89
10252-20180605110613_v67.1,392-20180605110613_v67.1
04952-20180605110613_v67.1,172-20180605110613_v67.1
07352-20180605110613_v67.1,208-20180605110613_v67.1
01856-20180524131340_v66.89,318-20180524131340_v66.89
03002-20180524131340_v66.89,680-20180524131340_v66.89
07005-20180524131340_v66.89,1080-20180524131340_v66.89
37701-20180524131340_v66.89,868-20180524131340_v66.89
39803-20180524131340_v66.89,889-20180524131340_v66.89
79829-20180605110613_v67.1,1100-20180605110613_v67.1
32412-20180605110613_v67.1,661-20180605110613_v67.1
03301-20180524131340_v66.89,832-20180524131340_v66.89
31005-20180524131340_v66.89,702-20180524131340_v66.89
99113-20180605110613_v67.1,73-20180605110613_v67.1
80306-20180524131340_v66.89,728-20180524131340_v66.89
02060-20180605110613_v67.1,45-20180605110613_v67.1
30007-20180524131340_v66.89,709-20180524131340_v66.89
98011-20180524131340_v66.89,1293-20180524131340_v66.89
01958-20180524131340_v66.89,147-20180524131340_v66.89
86303-20180524131340_v66.89,572-20180524131340_v66.89
08251-20180605110613_v67.1,277-20180605110613_v67.1
07701-20180605110613_v67.1,1071-20180605110613_v67.1
98017-20180605110613_v67.1,529-20180605110613_v67.1
10009-20180524131340_v66.89,136-20180524131340_v66.89
22105-20180524131340_v66.89,921-20180524131340_v66.89
02062-20180605110613_v67.1,470-20180605110613_v67.1
43152-20180605110613_v67.1,897-20180605110613_v67.1
20457-20180524131340_v66.89,1279-20180524131340_v66.89
02566-20180605110613_v67.1,835-20180605110613_v67.1
04655-20180524131340_v66.89,536-20180524131340_v66.89
78202-20180605110613_v67.1,1065-20180605110613_v67.1
06251-20180605110613_v67.1,78-20180605110613_v67.1
60503-20180524131340_v66.89,17-20180524131340_v66.89
05057-20180524131340_v66.89,1057-20180524131340_v66.89
91506-20180524131340_v66.89,38-20180524131340_v66.89
88202-20180605110613_v67.1,441-20180605110613_v67.1
02262-20180524131340_v66.89,418-20180524131340_v66.89
01653-20180605110613_v67.1,116-20180605110613_v67.1
79926-20180605110613_v67.1,1095-20180605110613_v67.1
20904-20180605110613_v67.1,756-20180605110613_v67.1
11005-20180524131340_v66.89,1000-20180524131340_v66.89
03056-20180524131340_v66.89,326-20180524131340_v66.89
73302-20180524131340_v66.89,1092-20180524131340_v66.89
01456-20180605110613_v67.1,119-20180605110613_v67.1
97303-20180605110613_v67.1,192-20180605110613_v67.1
02953-20180524131340_v66.89,612-20180524131340_v66.89
06454-20180605110613_v67.1,182-20180605110613_v67.1
16101-20180605110613_v67.1,734-20180605110613_v67.1
06158-20180605110613_v67.1,88-20180605110613_v67.1
00703-20180524131340_v66.89,367-20180524131340_v66.89
50189-20180524131340_v66.89,1196-20180524131340_v66.89
10019-20180524131340_v66.89,1231-20180524131340_v66.89
62501-20180524131340_v66.89,255-20180524131340_v66.89
10214-20180524131340_v66.89,1232-20180524131340_v66.89
52151-20180605110613_v67.1,1087-20180605110613_v67.1
20310-20180524131340_v66.89,1284-20180524131340_v66.89
29901-20180524131340_v66.89,275-20180524131340_v66.89
98108-20180524131340_v66.89,806-20180524131340_v66.89
